Classe,Texto
neg,Fire_Magal @CuryVicente @LulaOficial Quem tá com nojo de quem?#LulaLadrãoOu #senhorakanja🤮🤮🤮🤮🤮🤮🤮🤮🤮
neg,SoniaMagno2 @revistaforum Mas todos sabem que no Lula é  Ladrão Mentiroso e Cachaceiro
neg,msmmauricio @requiaooficial Fotoshop. O maior ladrão da história da humanidade.#LulaLadrao #BolsonaroNoPrimeiroTurno
neg,RegianeB1 Lula ladrão seu lugar é na prisão.Assinado: Cuzcuzclã#BolsonaroNoPrimeiroTurno
neg,SilvioKnapp @Rconstantino Fora Lula. Lugar de ladrão é a cadeia.
neg       ,"JauroMartins @PauloSH1967 @JornalDaCidadeO Lula o ladrão dos pobres e dos trabalhadores brasileiros, e quer roubar a nossa Liberdade, Democracia e Soberania, LULA E PT, O LIXO DO BRASIL!!!"
neg,IvoneMarquesin @patolinoubatuba Lula ladrão seu lugar é na prisão 🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀
neg,"C30Costa @portalR7 STF LIBERTOU LULA LADRÃO, E  PRENDEU O PISO SALARIAL DA ENFERMAGEM "
neg," liliane_denise @joicehasselmann LULA, O MAIOR LADRÃO DO MUNDO 🤮"
neg,"PauloSrgioGon16 @folha Lula ladrão, verme dissimulado"
neg,LucasFe85455681 @AnonNovidades Lula ladrão vagabundo
neg,Alangomeswin7 @LulaOficial Você é feito de corrupção e roubo dos cofres públicos! Vai se ferrar #lulaladrao
neg,KohnMirna @OGloboPolitica Será q alguém ainda acredita no ex presidiário ?!?!🤮🤮🤮🤮 #LulaLadrão
neg,"mcporto @augustodeAB Eu não respeito quem apóia facção criminosa, vagabundo ladrão como o Lula"
neg,OhannaMariah @Latinooficial PT LIXO LULA LADRÃO 🐍🐍🐍🐍🐍👹
neg,ADILSONBAROLI1 @LeilaneNeubarth Uai.... É o que LULALADRÃO E O PETRALHA FIZERAM CONOSCO EM 14 ANOS... VC É  UM JORNALEIRA RUIM... E COVARDE... INCENTIVAR UM LADRÃO
neg, @edusouzalopes @LeilaneNeubarth O sorriso do Lula mostra que ladrão de naipe deixa ele orgulhoso. 💩🤮
neg,EvandiVenancio @brom_elisa São todos manipuladores  PT  nunca mais Lula ladrão
neg,Claudiojbelli @LulaOficial Lula você além de safado é o maior mentiroso e ladrão do Brasil 🤮
neg,"DanielPteixeir3 @LulaOficial Se tem gente passando fome,é pq vc roubou.lula ladrão condenado 13"
neg,elciomusk @brubacker2 LULA bandido ladrão e pinguço
neg,"vendequalidade @LulaOficial @verdadenarede Lula, vocês são uma cambada de gente atoa e mentirosos Lukar de bandido é na cadeia e o Brasil está de olho.."
neg,AlanCsarFerrei1 @Melnetto @Guerra_PR22 Lula deveria apodrecer na CADEIA
neg,WanderleiaLim10 @Janoninho_ É LULA de volta pra cadeia e ponto final
neg, mpereira3105 @fern1_maia @LulaOficial O Brasil quer Lula na cadeia.
neg,CarlosA97003567 @LulaOficial Cala a boca seu merda Lula cachaça na cadeia PT nunca mais PT partido de ladrões
neg,orlandi05027562 @LulaOficial O Lula deixar de ser burro!
neg,"MadeinURSAL @JornalismoWando Aqui vai um exemplo: ""enche a boca para falar de sua prisão, mesmo sabendo que suas condenações foram anuladas pela Justiça.""."
pos,M52023589 @lazarorosa25 O Meu presidente é LUIZ INÁCIO LULA DA SILVA  ❤1️⃣3️⃣❤
pos,RosaMar94252748 @MariaFlor_ana Vem Lula vem Lula vem presidente Lula
pos,"Isabo41Melgar @LulaOficial Verdade, @LulaOficial. Sou professora na rede pública e sou testemunha dos benefícios do programa Bolsa Família na vida das famílias. Por isso e por todas suas propostas de governo estou com LULA PRESIDENTE no primeiro turno."
pos,valgomesbvieira @rosescapim @danielamercury @LulaOficial O povo vai eleger Lula presidente de novo!
pos,dorams1308 @LulaOficial LULA PRESIDENTE DA REPÚBLICA!
pos,walquiriacunha1 MEU PRESIDENTE É LUIZ INÁCIO LULA DA SILVA PRIMEIRO TURNO RUMO À VITÓRIA 🎶💃🎺🤸‍♂️🎉
pos,"amarmesquita @cirogomes Meu sonho para esses proximos das, é eleger Lula, presidente do Brasil."
pos,LulaSilvaLivre LULA O ESTADISTA  LULA PRESIDENTE  LULA GRANDE LÍDER  O POVO BRASILEIRO PRECISA DE VOCÊ
pos,PauloCs21334946 Vota Brasil Lula Presidente é a esperança da nossa nação aperta número 13 confirma nas urnas eletrônicas 02 outubro de 2022 vota também no time do Lula  Deputado Estadual Deputado Federal Senador Governador. Passa essa mensagem pelo WhatsApp Twitter pra seus amigos
pos,JoanadaPaz LULA PRESIDENTE 13 🚩PAULO ROMÃO 13613🚩 Deputado Estadual-MA
pos,"mlysantoucy Não vejo a hora de poder resgatar nossas cores sem me sentir envergonhada por ser confundida com bolsonaristas! Proponho que no dia da vitória do LULA PRESIDENTE comemoremos usando o nosso verde e amarelo, antes usurpados pelo gado!"
pos,"mariaca30341953 @Fercarlula Tá acabando, falta muito pouco para o Lula ser o nosso Presidente.#LulaNo1ºTurno 13"
pos,"LULA PRESIDENTE NO PRIMEIRO TURNO 🙌🙌🙌🙌 DIA 1 DE JANEIRO, LULA VAI ENCONTRAR, O PALÁCIO DO GOVERNO, VAZIO O BOZO VAI LEVAR DAR, TUDO QUE TEM LÁ DENTRO, JÁ SONHEI COM ISSO, SE ELE NÃO FUGIR PRA OUTRO PAÍS"
pos,ElianaN10257203 Vai no primeiro turno. Lula 13 Presidente ❤️🇧🇷
pos,"guimaraes_gilva @MengaNunes @joaopaulomst @MST_Oficial O Lula tirou o povo da pobreza!  No governo do Bozo a fome voltou de forma Avassaladora!  Lulapresidente !  Dia2/10, vote13!"
pos,cleciusnascimen @LulaOficial É Lula Presidente e Bolsonaro na cadeia. #LulaPresidente13
pos,@BlogdoNoblat Só lembrando vcs vai ser LULA PRESIDENTE ❤1️⃣3️⃣❤
pos,pedrocelsosm @LucianoHuck #LulaGrandeLider Para o povo pobre brasileiro ter o que comer e para o povo sorrir de novo é LULA PRESIDENTE 13.
pos,caminhandopelo O MELHOR PARA O BRASIL É LULA PRESIDENTE EM 2 DE OUTUBRO VOTE 13 DE PONTA A PONTA.
pos,"GracyFranca @LulaOficial Olê olê olê olá, LULA  LULA! É Isso aê bora votar 13 para Lula Presidente do Brasil1🇧🇷⭐❤"
pos,tone_1620 É bem por aí. @LulaOficial para Presidente!!!
pos,AnchietaDJ Por isso voto Lula 13 para presidente! #LulaNo1ºTurno 
pos,"saritacardoso7 De Criciúma-SC, Lula Presidente! Para um Brasil feliz de novo!!!"
pos,"Jonas_HBA @wilton3328 @xRicardoA @folha Lula liderava todas pesquisas. O melhor presidente da história deste país. O cara que mais gerou emprego, renda, moradia, tirou milhões da pobreza e da fome. Ele tá vindo ai novamente para por o Brasil no caminho da paz e progresso. #LulaPresidente13"
pos,GilmarR24452263 O PT deu certo na Bahia e vai dar certo no Brasil.Lula 13 Presidente do Brasil.
pos,111biblia faltam 21 dias para lula ser nosso presidente de novo
pos,BrasilDemocrat4 Boa tarde gente querida! o Lula vai ganhar para Presidente do Brasil em nome do Senhor JESUS CRISTO.🙏🙏🙏🙏🙏🙏
pos,SniaReginaDeO11 @inst_lula O Senhor é um Ser iniqualável PARABÉNS LULA por sua empatia com o próximo é LULA para presidente Lula primeiro turno LULA 13
pos,Lyonvitor13 Faltam 21 dias para votar Lula 13 e acabar com o nosso pesadelo.
pos,"IvaniaPereira65 #BrasilDaEsperança é com saúde, educação, comida na mesa, respeito, emprego e renda. Esse Brasil é com @LulaOficial na presidência. Falta menos de um mês para todas e todos elegermos o nosso Presidente. Lula faz Política pensando nos que  mais precisam. Queremos mudança!"
pos," jgprates “Enquanto houver um irmão ou irmã passando fome, teremos motivo de sobra para nos cobrir de vergonha”. Vote @LulaOficial presidente, no primeiro turno ⭐️1️⃣3️⃣"
pos,ACCarvalho71 @revistaforum Lula Presidente para cuidar do Povo!!!
pos,Quixotebrazuca Estamos em CONTAGEM REGRESSIVA até o dia 02 de outubro para DERROTAR BOLSONARO no primeiro turno com @LulaOficial PRESIDENTE 💪
pos,Com65Fms @randolfeap O povo brasileiro tem urgência de um presidente que se preocupe Com quem passa fome. Para isso vou votar no Lula 13
pos,RodrigoExploit Faltam 21 dias para elegermos Lula presidente. É TREZE! Faz o L! Bom dia!🚩
pos,LubeleMaria Lula Presidente para o Brasil voltar a ser feliz de novo!!! Volta Lula!!!  #LulaPresidente13  #LulaEoPTjaNo1ºTurno
pos,"willow_digitall  FALTAM 20 DIAS PARA VOTAR 13 ❤️ Estamos quase chegando na reta final, galera! 🌟  Enquanto não conseguimos apertar 13 com força nas urnas, precisamos mostrar ao povo brasileiro que Lula é o melhor presidente que esse país pode ter! ✨❤️ #LULAPRESIDENTE🌟"
pos,DeniseBallestra Bom dia! Feliz domingo a todos e todas! 🇧🇷1️⃣3️⃣🇧🇷 Faltam 21 dias para elegermos @LulaOficial presidente do Brasil! #LulaNoPrimeiroTurno #LulaEoPTUnicaViaJaNo1ºTurno #lulaeoptporvidasesonhos #LulaEoPT13deFioApavio #LulaPresidente13
pos,"SolangeFerrer Então, 21 dias, 3 domingos para elegermos @LulaOficial nosso PRESIDENTE, DE NOVO Faz o L e vem!  Vem  votar 13  🇧🇷❤️ #LulaPresidente13 Vamos Juntos pelo brasil"
pos,bess_malachi Lula Presidente para o Brasil voltar a sorrir!!!#ForaBolsonaro 🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩
pos,"CemPorCentoLula @LulaOficial foi presidente de todos os brasileiros por duas vezes, trabalhou por vulneráveis e para fortalecer o setor dos postos de trabalho... o nojento do naro é presidente de apenas 30% do povo e ferra os 70%BOLSONARISMO MATA#LulaNo1ºTurno VOTO ÚTIL DERROTA O INÚTIL"
pos, prudentemarlene Mas saúde é com Lula 13 lula13 para Presidente do Brasil #LulaEoPTUnicaViaJaNo1ºTurno
pos,EdsonAsfora O Nordeste é Lula! Meu presidente é Luiz Inácio Lula da Silva! Eu não mudo meu voto!
pos,freitas_alaide @UOLNoticias Meu voto é Lula 13 presidente
pos,"leandroluzm Por tudo isso, hoje meu voto é do @LulaOficial . Por um Brasil mais esperançoso, mais justo e mais sonhador. Já no primeiro turno. Como diz minha mãe, vamos de novo Lula Lá."
pos,Brulckgui Lula venceu!!! É lula 2022. Meu voto é 13!!!
pos,paulose06170073 @PATRlOTAS Passando pra dizer que meu voto é Luiz Inácio lula da Silva 13
pos,Claudioatju Meu voto é no Luiz Inácio Lula da Silva #Vote13
pos,BatystaLukas @LulaOficial Meu voto é seu Lula
pos," NisianaSalgado @lazarorosa25 Meu Deus! Vamos acabar com isso no primeiro turno! Chegaaaa Voto útil derrota o inútil  É 13, É  LULA LAAAAAAAA 🤧🙏"
neu,JoderymaT Voto NULO já! Não votarei em corrupto!
neu,Só os lúcidos acordaram. Você humilhou um ser humano. Ninguém em sã consciência acredita no seu arrependimento. Nem Lula nem Bolsonaro. #VotoNulo
neu,"Simple8083 @LucianoHuck E você Luciano,vai ficar em cima do muro?Vai ficar neutro?Neutralidade nessa eleição é ficar do lado da barbárie."
neu,"zirague Não existe ninguém neutro, ou isento. Aquele que o diz ser, está apoiando a miséria, e o fascismo."
neu,PortaNivaldo @LulaOficial Se é que vc me entende 🤔🤔🤔
neu,"littaely @PTralhe @afonsohipolito @lolaescreva @EthelMaciel Vocês também! Mentem, distorcem e acusam quem não apoia lula!"
neu, @crollim @LulaOficial @JanjaLula Tem algo errado aí. Ela está fazendo arminha. Kkkkk
neu,T0N13T0 @crollim @LulaOficial @JanjaLula Tem algo errado aí. Ela está fazendo arminha. Kkkkk
neu,Frank_Edson_211 @LulaOficial Desarmar o povo??
neu,luiz_barszcz @LulaOficial Única forma de ter comida no prato é trabalhando
neu,CelsoAffonsoFi1 @LulaOficial E aquela que vc ignorou???? Ahhhh aquela era sobre religião né??
neu,DeChrisostomo @LulaOficial @MarinaSilva Agora sim!!!!!! 👏🏼👏🏼👏🏼👏🏼
neu,Bbcjxsn Votar no lula??? Meu voto é em nosso relacionamento
neu,Yelo_210 @ABKBRUCKMANN @LulaOficial @MarinaSilva Um Goblin e um ET
neu,"anapmarssal Onde chegamos. A fome não é brincadeira. Ela não tem cor, raça, gênero, partido... O meu desejo é que esse sr., seja ele a favor do Bolsonaro, lula ou Batman, pague por tal ato"
neu,1965ess @danielamercury @LulaOficial E as mamatas da classe artística parasita
neu,eu_rod @doutoraco @berklin_e @LulaOficial Qual atrocidade ?
neu,Regivaldofr @OGloboPolitica @MarinaSilva @LulaOficial Não acredito!!! 😲😲Nunca pensei que ela faria isso 🤡
neu,vai_ter_virada @cirogomes NEM LULA NEM BOLSONARO  Eu quero PAZ!
neu,scalon_ @eduautorbr Agora fiquei com vontade :(
neu,misslexotan0mg @cerpadraft Quem dera😭
neu,@gustavocanalhao Quem conhece o Ciro sabe que ele se recusa a tomar os remédios psiquiátricos.
neu,xerequieto @santzlipe a pergunta q ela vai faze p espelho vai ser se tem alg palestina viva
neu,"TeixeiraAliane @carolinacamposx @victorgafe @LulaOficial É verdade"" ece bilhete""."
neu,"higorjuse @LulaOficial A @LATAM_BRA  disse que essa medida foi suspensa no Brasil, e que não pode mais 😭😭"
neu,_marolara @LulaOficial @LulaOficial e Dona Ilza num abração pra ontem
neu,"naildes_maria @LulaOficial É isso que queremos ver, solidariedade e amor ao próximo."
neu,"Estanek4 @danielamercury @LulaOficial Tá de olho no dinheiro né safada"
neu,alceujr20 @danielamercury @LulaOficial Sabemos@quem vc é:
neu,Armando20285440 @danielamercury @LulaOficial Duas bolsas tass!!
neu, ReuteArthur @LulaOficial @MarinaSilva O teatro das tesouras novamente 🥱
neu,dhrqqe @LulaOficial forçou velhote
neu,"chicobjr @AndreJanonesAdv @LulaOficial André, tem como esse encontro acontecer?"
neu," SinceroMedeiros @LulaOficial Aconteceu sim, eu era a menininha."
neu,"CanteiroNancy @Paulapucca1 @monark Ele vai de qualquer jeito.....Lula n ganha no primeiro turno, não esqueça que tem Simone e outros candidatos, fora os nulos.....por isso eu voto no terceiro lugar, pq n quero nem Lula e nem Bolsonaro. Votar em Ciro é uma chance de um dos dois perderem.....penso assim."
neu,engalexsandro @LulaOficial @MarinaSilva Apareceu a tartaruga Marinha? Não tinha visto até agora esse ano ainda ...
neu,Gilrbarreto2 @LulaOficial Aí você acordou.
neu,j___rocha @OGloboPolitica @MarinaSilva @LulaOficial Essa é crente?
neu,"RuideSo1 @LulaOficial A menina pediu para a pessoa errada, kkk"
neu,"LurienBolsonaro @geraldoalckmin @LulaOficial Que fiasco!  😁😁😁"
neu,MaikGregio @RealMORTE @babyseall Lula já esta com o Pé na cova
neu,MarineteSM @LulaOficial Não consegui ler a matéria. Não sou assinante.
neu,powercoding64 @danielamercury @LulaOficial E a lei Rouanet né ?
neu,Almeeida_Daviid @dhrqqe @LulaOficial A fic kkkk
neu,7thphotographe o cara vai ficar cotó igual o lula kkkkkkkk
neu,"Dougcastro22 @LulaOficial Para de tomar essa sua cachaça"
neu,simonebertoldo2 @LulaOficial Cuidado com a Cuscuz Clã
neu,gallegobruno1 @LulaOficial Era só não ter roubado.
neu,redbirdfdp01 @danielamercury @LulaOficial Saúde? 
neu,"WalterAndraade @victorgafe @LulaOficial Eu com 8 anos estava aprendendo o A,E, I, O, U..😂😂😂"
neg,@Janoninho_ BOLSONARO NUNCA MAIS!
neg,"@MottagenivalC Bolsonaro também é ex presidiário,a mulher dele a sogra o o tio da mulher dele porque vcs não falam isso têm medo"
neg,@jairbolsonaro Fui ao supermercado e não vi queda de preços
neg,"tauantes Durante o desgoverno Bolsonaro, o aumento da intolerância contra as religiões de matrizes africanas aumentou consideravelmente, templos são queimados, adeptos ameaçados, expulsos de seus lugares de reunião, apedrejados, sim, tudo isso aconteceu, procurem aí (+) #Eleicoes2022"
neg," AbelhanativaRS @SF_Moro Declara o voto no Bolsonaro , talvez alguns te perdoem e te ajudem nessa eleiçao. E tua sorte é que ele será reeleito, senao Lula te metia na cadeia"
neg,puthculture a ivete mandando um fora bolsonaro sem dizer fora bolsonaro mainha hablou
neg," 5oSerie @SimoneMortari @CamargoDireita 2018 eu queria nem PT nem Bolsonaro. Realmente não queria nada de velha política. Agora não quero Bolsonaro. Não importa se outros foram ruins. Esse tá ruim e eu quero outro! O dia que todo mundo combinar de não votar em Bolsonaro nem PT nem “político velho”, aí eu tô junto.
"
neg,dolatimmilitei Ivete sangalo militou pro bolsonaro ou impressão minha?? pessimoooo
neg,carinne_pinto Vou traduzir p vcs o que a Ivete disse. FORA BOLSONARO!
neg,adamariza Bolsonarismo mata! Fique longe! Vote Lula 13 para Presidente no primeiro turno
neg,"2022-09-12 00:00:16+00:00 FilhoRalph @camarotedacpi @NexoJornal BOLSONARO É BANDIDO VULGAR CERCADO DE PILANTRAS E VIGARISTAS E PROXENETAS DO POVÃO BRASILEIRO REFÉM DA MALDITA E INTENCIONAL E PERVERSA IGNORÂNCIA ASSENTADA NO ANALFABETISMO MAIS HEDIONDO E CRUEL COM  ESTRATÉGICA MORDAZ E TORPE DA DESTRUIÇÃO DA ESCOLA PÚBLICA E MORTE DA PEDAGOGIA
"
neg,Washing54834673 @Bertibrasil Canalha imundo da nojo só de ouvir sua voz Bolsonaro no primeiro turno 22
neg,"BolsonarosFatos Vc sabia? Para aliados, Bolsonaro 'passou recibo' de irritação com notícias de que há busca por um candidato como Joe Biden para eleições brasileiras de 2022 
 https://t.co/SoARHFpPW0"
neg,"BolsonarosFatos Vc sabia? Guedes desmente versão de Bolsonaro sobre 13º do Bolsa Família e diz que recomendou não conceder. Jair Bolsonaro havia acusado Rodrigo Maia de ser o culpado por beneficiários não terem recebido o 13ª 
 https://t.co/KsTUBoc8nr"
neg,"BolsonarosFatos Vc sabia? Brasil tem de deixar de ser 'país de maricas' e enfrentar pandemia 'de peito aberto', diz Bolsonaro. Porém, o que Bolsonaro fez para enfrentar a pandemia além de recomendar Cloroquina e politizar o uso de vacinas? 
 https://t.co/oxBGFToe8e"
neg,"SantiThieleman_ @BragaNetto_gen @jairbolsonaro Conquista l?! Deixa de conversa e vai servir e respeitar a Constituição Federal, milico."
neg,"Rosana_Oliveira @SoStress @allandospanos Alguém precisa contar pro bolsonarista dos 60 BILHÕES de orçamento secreto.

Desculpa, cara. O Bolsonaro já conseguiu superar TODOS os recordes."
neg,"robsonjsilveira @Sayobernardino @AndradeRNegro2 Olha, o melhor bolsonaro não é comparável ao pior Lula."
neg,valoreconomico Coluna Política de @mcfernandes: Bolsonaro ignora a independência e celebra a vergonha https://t.co/HdQeHHspHs
neg,"ibrbza além de ser feia vai votar no Bolsonaro, feia e burra
"
neg,"HolosNihilism @israellfz2 @RafaelFontana Cadê as escrituras dos 51 imóveis no nome do Bolsonaro e dos seus filhos?
Orçamento do relator foi votado no congresso. Bolsonaro vetou. Como o pt votou?"
neg,ToniBosco9 @BolsonaroSP FORA BOLSONARO REPUGNANTE...CPI DO MEC JÁ  SEU PUTO!
neg," heloisahab1 @jairbolsonaro Só se for na sua casa, a inflação continua em alta!"
neg,Aymarx10 @fluxo_max tomara q o bolsonaro morra
neg,"fcoaassis Bolsonaro corta verba para almoço nas escolas, e crianças ficam apenas com biscoito e refresco - https://t.co/EkLfesgvuW via @agendadopoder"
neg,"Peter_Lyra @leandroruschel ""Bolsonaro agrada mercado e deveria cortar benefícios sociais se reeleito, diz megainvestidor""

TRADUZINDO:

""Bolsonaro é um ESCROTO que deveria deixar o povo passando fome pra nos enriquecer, diz LIBERAL SAFADO""

É LULA OU FOME https://t.co/KA8hWrNqak"
neg," vanlos81 @Eng92_Denilson @LulaOficial Realmente falta de conteúdo faz pesquisar conteúdo alheio procura algo relevante no perfil do @jairbolsonaro, agora se não encontrou continue procurando vai que mude de ideia isso é democracia
"
neg       ,IzabelTozzo @realpatriotas @BolsonaroSP Que ele te ouça e te livre desse mal chamado Bolsonaro
neg,jrsilvareal Promovi um “ei bolsonaro vai tomar no cu” ao vivo no @multishow #RockInRio https://t.co/0yljYW6Cym
neg,joaofernandesf1 Bolsonaro irá ao funeral de Elizabeth II https://t.co/NuubNpps8E Vai passar vergonha esse patife sem caráter.
neg,"Pat_Bulbovas @bernardokuster2 Bolsonaro
 Claro. Inimigo e corrupto. 51 imóveis em dinheiro vivo na familia"
neg,"ana70947612 BOLSONAZISMO QUANDO NÃO MATA NA MÃO GRANDE, MATA DE FOME !!!
#BolsonaroNuncaMais 
BOLSONARO NUNCA MAIS!!
#LulaUnicaViaParaDerrubarOFascismo 
#LulaEoPTUnicaViaJaNo1ºTurno https://t.co/PskEskCgMz"
neg,"LuizctbaII @rmotta2 Quantos da quadrilha do PT foram presos no governo Bolsonaro? NENHUM 

Soltos? TODOS 
Estão no governo? 99%

O minto tem tudo a ver com isto
Pior que o PT é o traidor que tornou Lula elegível
O Bolsonaro conseguiu ser mais nocivo ao Brasil do que o Lula 
https://t.co/SnD0OK2EbB"
neg,"2022-09-11 23:57:58+00:00 AndreJanonesAdv @BolsonaroSP Há 2 anos, o Brasil era abalado pela COVID,onde Bolsonaro além de ajudar a matar 400 mil brasileiros, ainda debochou das vítimas com falta de ar.

Que o exemplo dos heróis da ciência e da área de saúde não seja em vão e que resistamos a esse terror que ainda ameaça a civilização."
neg,carneirojuh Para mim toda e qualquer pessoa que não vota no único candidato com votos suficiente pra derrotar bolsonaro no primeiro turno na minha opinião ela quer mais quatro desse governo e fim de papo.
neg,"Sim, há que entenda que as quase 700 mil mortes na pandemia seja ""conquista""."
neg,"elianejorn @VEJA Se vc e feminista e Cristã,
È impossível apoiar Bolsonaro"
neg,"noticiaminutobr Bolsonaro é incivilizatório, o Brasil andou para trás, diz Alckmin https://t.co/uj306mZGXg #politica"
neg,"ljmonteiro2014 @VEJA Se Deus quiser, seja lá pra quem for, Bolsonaro  derrotado"
neg,"GeckoTo @gitozadori se dependesse do bolsonaro ele nao voltava de lá
que deus abençoe todos nós e nos proteja do mal desse monstro"
neg,"ctrl_thur Bolsonaro a bandeira nunca será sua seu velho broxa

https://t.co/0nj4QACD0H"
neg,"cjgmatos7 Eu quero que o Pr @jairbolsonaro vá pra o funeral da Rainha Elisabeth II.
Quem apoia a ida do Pr Bolsonaro? https://t.co/xAj4yHM9ek"
neg,queiroz_clesio @jairbolsonaro Ai atualizando seu arrombado #BolsonarismoMATA https://t.co/JEEmZBWWqV
neg,CassioNewton @monark Pior foi o traste do Bolsonaro que usou uma data cívica pra fazer campanha política...TSE tá certíssimo 👏👏👏👏
neg,"Kcardoso09 E lula 2022, Bolsonaro e um sem noção."
neg,"taticabarrosr “Escuta o que eu falo, abre a boca e diz quem EH FORA BOLSONARO!” #LUDMILLAnoRockinRio #LudmillaNoMultishow"
neg,"UchoaHeloo Amei a ludmilla entrando com a camisa do Brasil e mandando fazer o L
Quem pegou essas duas referências pegou!
É fora Bolsonaro #LudmillaNoMultishow"
neg,Resist4ever13 Esse é o governo bolsonaro... #ForaBolsonaro #Lula2022 https://t.co/mIjInFQejP
neg,"MariseVianna Bolsonaro envolvido no assassinato de  Marielle, preferida para o senado pelo Rio… o filho do Bolsonaro foi eleito.
Bolsonaro fez várias trocas no comando da polícia federal para evitar a apuração dos crimes dos filhos. #LulaNo1ºTurno"
neg,"InWoonderlaand Bernardo simplesmente do nada cantando “desenrola, bate e fora bolsonaro” kkk"
pos,"@geraldoalckmin Mais uma narrativa...não cola, o povo não é mais bobo...bolsonaro até 2026....chora petezada. 😅😅😅😅😅😅😅😅😅"
pos,nilzamarialeme1 @jairbolsonaro BOLSONARO reeleito primeiro turno 🇧🇷🇧🇷🇧🇷
pos,"comequieto69999 SEGUE O LÍDER #Bolsonaro Barrão 
Com campanha de Lula fracassando, José Dirceu já teme por seu futuro: ” vou ser preso de novo Lula também """
pos,"RenatoBolsonar3 NÃO VAI HAVER GOLPE, VAI SER NO PRIMEIRO TURNO DAS ELEIÇÕES PRESIDENCIAIS, ACORDA BRASIL, ACORDA BRASIL, ACORDA BRASIL ENQUANTO AINDA HÁ TEMPO, BOLSONARO PRESIDENTE ATÉ 2026, BRASIL ACIMA DE TUDO, DEUS ACIMA DE TODOS 🇧🇷"
pos,mirnavieiraa Aqui no 🇧🇷 os preços caem. culpa é de Bolsonaro e de Paulo Guedes.
pos,Dayalmeidamoura @g1 Uai mas o Lula molusco não tinha tirado todo mundo da pobreza? Que estranho kkkkkkkkkkk vaiiiii Bolsonaro 22
pos,"BrauBrau3 @ivetesangalo  fazendo propaganda pro Bolsonaro.....tô achando oteeemo.....""Todo mundo tem direito a ser livre e vai continuar a ser livre"" é isso aí Veveta, essas são as pautas do nosso presida @jairbolsonaro  e dia 2/10 vamos confirmar isso..obrigado pela publicidade gratuita."
pos,"WillyMa56215146 @__dudasc Eu também, 56% BOLSONARO, 32% LULA!"
pos,"MarquesGenilda @BolsonaroSP @tarcisiogdf @jairbolsonaro Eduardo, qual o CNPJ para fazer doação pelo PIX para você e o presidente Bolsonaro? Tem muita gente perguntando. Divulguem, por favor."
